time_slot_id,time_slot_start_time,time_slot_end_time,day_of_week
1,08:00:00,09:30:00,Saturday
2,09:30:00,11:00:00,Saturday
3,11:00:00,12:30:00,Saturday
4,12:30:00,14:00:00,Saturday
5,14:00:00,15:30:00,Saturday
6,15:30:00,17:00:00,Saturday
7,17:00:00,18:30:00,Saturday
8,18:30:00,20:00:00,Saturday
9,20:00:00,21:30:00,Saturday
10,21:30:00,23:00:00,Saturday
11,08:00:00,09:30:00,Sunday
12,09:30:00,11:00:00,Sunday
13,11:00:00,12:30:00,Sunday
14,12:30:00,14:00:00,Sunday
15,14:00:00,15:30:00,Sunday
16,15:30:00,17:00:00,Sunday
17,17:00:00,18:30:00,Sunday
18,18:30:00,20:00:00,Sunday
19,20:00:00,21:30:00,Sunday
20,21:30:00,23:00:00,Sunday
21,08:00:00,09:30:00,Monday
22,09:30:00,11:00:00,Monday
23,11:00:00,12:30:00,Monday
24,12:30:00,14:00:00,Monday
25,14:00:00,15:30:00,Monday
26,15:30:00,17:00:00,Monday
27,17:00:00,18:30:00,Monday
28,18:30:00,20:00:00,Monday
29,20:00:00,21:30:00,Monday
30,21:30:00,23:00:00,Monday
31,08:00:00,09:30:00,Tuesday
32,09:30:00,11:00:00,Tuesday
33,11:00:00,12:30:00,Tuesday
34,12:30:00,14:00:00,Tuesday
35,14:00:00,15:30:00,Tuesday
36,15:30:00,17:00:00,Tuesday
37,17:00:00,18:30:00,Tuesday
38,18:30:00,20:00:00,Tuesday
39,20:00:00,21:30:00,Tuesday
40,21:30:00,23:00:00,Tuesday
41,08:00:00,09:30:00,Wednesday
42,09:30:00,11:00:00,Wednesday
43,11:00:00,12:30:00,Wednesday
44,12:30:00,14:00:00,Wednesday
45,14:00:00,15:30:00,Wednesday
46,15:30:00,17:00:00,Wednesday
47,17:00:00,18:30:00,Wednesday
48,18:30:00,20:00:00,Wednesday
49,20:00:00,21:30:00,Wednesday
50,21:30:00,23:00:00,Wednesday
51,08:00:00,09:30:00,Thursday
52,09:30:00,11:00:00,Thursday
53,11:00:00,12:30:00,Thursday
54,12:30:00,14:00:00,Thursday
55,14:00:00,15:30:00,Thursday
56,15:30:00,17:00:00,Thursday
57,17:00:00,18:30:00,Thursday
58,18:30:00,20:00:00,Thursday
59,20:00:00,21:30:00,Thursday
60,21:30:00,23:00:00,Thursday
61,08:00:00,09:30:00,Friday
62,09:30:00,11:00:00,Friday
63,11:00:00,12:30:00,Friday
64,12:30:00,14:00:00,Friday
65,14:00:00,15:30:00,Friday
66,15:30:00,17:00:00,Friday
67,17:00:00,18:30:00,Friday
68,18:30:00,20:00:00,Friday
69,20:00:00,21:30:00,Friday
70,21:30:00,23:00:00,Friday
