topic_id,topic_name,topic_creation_date,course_id
1,chapter 1,2000-01-15,1
2,chapter 2,2000-01-15,1
3,chapter 3,2000-01-15,1
4,chapter 4,2000-01-15,1
5,chapter 1,2000-02-01,2
6,chapter 2,2000-02-01,2
7,chapter 3,2000-02-01,2
8,chapter 4,2000-02-01,2
9,chapter 1,2001-03-12,3
10,chapter 2,2001-03-12,3
11,chapter 3,2001-03-12,3
12,chapter 4,2001-03-12,3
13,chapter 1,2001-04-05,4
14,chapter 2,2001-04-05,4
15,chapter 3,2001-04-05,4
16,chapter 4,2001-04-05,4
17,chapter 1,2002-05-20,5
18,chapter 2,2002-05-20,5
19,chapter 3,2002-05-20,5
20,chapter 4,2002-05-20,5
21,chapter 1,2002-06-08,6
22,chapter 2,2002-06-08,6
23,chapter 3,2002-06-08,6
24,chapter 4,2002-06-08,6
25,chapter 1,2003-07-15,7
26,chapter 2,2003-07-15,7
27,chapter 3,2003-07-15,7
28,chapter 4,2003-07-15,7
29,chapter 1,2000-05-15,8
30,chapter 2,2000-05-15,8
31,chapter 3,2000-05-15,8
32,chapter 4,2000-05-15,8
33,chapter 1,2000-07-01,9
34,chapter 2,2000-07-01,9
35,chapter 3,2000-07-01,9
36,chapter 4,2000-07-01,9
37,chapter 1,2000-09-10,10
38,chapter 2,2000-09-10,10
39,chapter 3,2000-09-10,10
40,chapter 4,2000-09-10,10
41,chapter 1,2001-01-22,11
42,chapter 2,2001-01-22,11
43,chapter 3,2001-01-22,11
44,chapter 4,2001-01-22,11
45,chapter 1,2001-03-05,12
46,chapter 2,2001-03-05,12
47,chapter 3,2001-03-05,12
48,chapter 4,2001-03-05,12
49,chapter 1,2001-06-18,13
50,chapter 2,2001-06-18,13
51,chapter 3,2001-06-18,13
52,chapter 4,2001-06-18,13
53,chapter 1,2003-04-18,14
54,chapter 2,2003-04-18,14
55,chapter 3,2003-04-18,14
56,chapter 4,2003-04-18,14
57,chapter 1,2003-06-02,15
58,chapter 2,2003-06-02,15
59,chapter 3,2003-06-02,15
60,chapter 4,2003-06-02,15
61,chapter 1,2003-09-15,16
62,chapter 2,2003-09-15,16
63,chapter 3,2003-09-15,16
64,chapter 4,2003-09-15,16
65,chapter 1,2004-02-28,17
66,chapter 2,2004-02-28,17
67,chapter 3,2004-02-28,17
68,chapter 4,2004-02-28,17
69,chapter 1,2004-04-12,18
70,chapter 2,2004-04-12,18
71,chapter 3,2004-04-12,18
72,chapter 4,2004-04-12,18
73,chapter 1,2004-07-25,19
74,chapter 2,2004-07-25,19
75,chapter 3,2004-07-25,19
76,chapter 4,2004-07-25,19
77,chapter 1,2007-10-12,20
78,chapter 2,2007-10-12,20
79,chapter 3,2007-10-12,20
80,chapter 4,2007-10-12,20
81,chapter 1,2007-12-01,21
82,chapter 2,2007-12-01,21
83,chapter 3,2007-12-01,21
84,chapter 4,2007-12-01,21
85,chapter 1,2008-03-20,22
86,chapter 2,2008-03-20,22
87,chapter 3,2008-03-20,22
88,chapter 4,2008-03-20,22
89,chapter 1,2008-06-05,23
90,chapter 2,2008-06-05,23
91,chapter 3,2008-06-05,23
92,chapter 4,2008-06-05,23
93,chapter 1,2008-09-18,24
94,chapter 2,2008-09-18,24
95,chapter 3,2008-09-18,24
96,chapter 4,2008-09-18,24
97,chapter 1,2009-01-02,25
98,chapter 2,2009-01-02,25
99,chapter 3,2009-01-02,25
100,chapter 4,2009-01-02,25
101,chapter 1,2008-02-26,26
102,chapter 2,2008-02-26,26
103,chapter 3,2008-02-26,26
104,chapter 4,2008-02-26,26
105,chapter 1,2008-05-10,27
106,chapter 2,2008-05-10,27
107,chapter 3,2008-05-10,27
108,chapter 4,2008-05-10,27
109,chapter 1,2008-08-22,28
110,chapter 2,2008-08-22,28
111,chapter 3,2008-08-22,28
112,chapter 4,2008-08-22,28
113,chapter 1,2009-01-15,29
114,chapter 2,2009-01-15,29
115,chapter 3,2009-01-15,29
116,chapter 4,2009-01-15,29
117,chapter 1,2009-03-01,30
118,chapter 2,2009-03-01,30
119,chapter 3,2009-03-01,30
120,chapter 4,2009-03-01,30
121,chapter 1,2009-06-15,31
122,chapter 2,2009-06-15,31
123,chapter 3,2009-06-15,31
124,chapter 4,2009-06-15,31
125,chapter 1,2009-06-03,32
126,chapter 2,2009-06-03,32
127,chapter 3,2009-06-03,32
128,chapter 4,2009-06-03,32
129,chapter 1,2009-09-18,33
130,chapter 2,2009-09-18,33
131,chapter 3,2009-09-18,33
132,chapter 4,2009-09-18,33
133,chapter 1,2009-12-05,34
134,chapter 2,2009-12-05,34
135,chapter 3,2009-12-05,34
136,chapter 4,2009-12-05,34
137,chapter 1,2010-03-22,35
138,chapter 2,2010-03-22,35
139,chapter 3,2010-03-22,35
140,chapter 4,2010-03-22,35
141,chapter 1,2010-06-08,36
142,chapter 2,2010-06-08,36
143,chapter 3,2010-06-08,36
144,chapter 4,2010-06-08,36
145,chapter 1,2010-09-25,37
146,chapter 2,2010-09-25,37
147,chapter 3,2010-09-25,37
148,chapter 4,2010-09-25,37
149,chapter 1,2014-08-14,38
150,chapter 2,2014-08-14,38
151,chapter 3,2014-08-14,38
152,chapter 4,2014-08-14,38
153,chapter 1,2014-11-01,39
154,chapter 2,2014-11-01,39
155,chapter 3,2014-11-01,39
156,chapter 4,2014-11-01,39
157,chapter 1,2015-02-15,40
158,chapter 2,2015-02-15,40
159,chapter 3,2015-02-15,40
160,chapter 4,2015-02-15,40
161,chapter 1,2015-05-30,41
162,chapter 2,2015-05-30,41
163,chapter 3,2015-05-30,41
164,chapter 4,2015-05-30,41
165,chapter 1,2015-09-12,42
166,chapter 2,2015-09-12,42
167,chapter 3,2015-09-12,42
168,chapter 4,2015-09-12,42
169,chapter 1,2016-01-28,43
170,chapter 2,2016-01-28,43
171,chapter 3,2016-01-28,43
172,chapter 4,2016-01-28,43
