course_id,semester_id,available_switch
1,1,0
1,3,0
2,1,0
2,3,0
3,2,0
3,3,0
4,2,0
4,3,0
5,1,0
5,3,0
6,1,0
6,3,0
8,1,0
8,3,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
14,3,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
20,3,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,5,0
26,6,0
26,7,0
27,5,0
27,6,0
27,7,0
28,5,0
28,6,0
28,7,0
29,5,0
29,6,0
29,7,0
30,5,0
30,6,0
30,7,0
31,5,0
31,6,0
31,7,0
32,5,0
32,6,0
32,7,0
33,5,0
33,6,0
33,7,0
34,5,0
34,6,0
34,7,0
35,5,0
35,6,0
35,7,0
36,5,0
36,6,0
36,7,0
37,5,0
37,6,0
37,7,0
38,4,0
39,4,0
40,4,0
41,4,0
42,4,0
43,4,0
