student_id,program_course_id,assessment_id,student_score,assessment_total_score
1,1,1,3.65,5
1,1,2,3.65,5
1,1,3,3.65,5
1,1,7,3.65,5
1,1,8,3.65,5
1,1,12,3.65,5
1,1,17,10.95,15
1,1,18,10.95,15
1,1,19,29.20,40
1,2,1,3.85,5
1,2,2,3.85,5
1,2,3,3.85,5
1,2,7,3.85,5
1,2,8,3.85,5
1,2,12,3.85,5
1,2,17,11.55,15
1,2,18,11.55,15
1,2,19,30.80,40
1,5,1,3.60,5
1,5,7,3.60,5
1,5,8,3.60,5
1,5,12,3.60,5
1,5,13,3.60,5
1,5,19,28.80,40
1,6,1,0.85,5
1,6,7,0.85,5
1,6,8,0.85,5
1,6,12,0.85,5
1,6,13,0.85,5
1,6,19,6.80,40
2,1,1,1.90,5
2,1,2,1.90,5
2,1,3,1.90,5
2,1,7,1.90,5
2,1,8,1.90,5
2,1,12,1.90,5
2,1,17,5.70,15
2,1,18,5.70,15
2,1,19,15.20,40
2,2,1,,5
2,2,2,,5
2,2,3,,5
2,2,7,,5
2,2,8,,5
2,2,12,,5
2,2,17,,15
2,2,18,,15
2,2,19,,40
2,5,1,2.90,5
2,5,7,2.90,5
2,5,8,2.90,5
2,5,12,2.90,5
2,5,13,2.90,5
2,5,19,23.20,40
2,6,1,4.10,5
2,6,7,4.10,5
2,6,8,4.10,5
2,6,12,4.10,5
2,6,13,4.10,5
2,6,19,32.80,40
3,1,1,4.95,5
3,1,2,4.95,5
3,1,3,4.95,5
3,1,7,4.95,5
3,1,8,4.95,5
3,1,12,4.95,5
3,1,17,14.85,15
3,1,18,14.85,15
3,1,19,39.60,40
3,2,1,3.95,5
3,2,2,3.95,5
3,2,3,3.95,5
3,2,7,3.95,5
3,2,8,3.95,5
3,2,12,3.95,5
3,2,17,11.85,15
3,2,18,11.85,15
3,2,19,31.60,40
3,5,1,3.60,5
3,5,7,3.60,5
3,5,8,3.60,5
3,5,12,3.60,5
3,5,13,3.60,5
3,5,19,28.80,40
3,6,1,2.95,5
3,6,7,2.95,5
3,6,8,2.95,5
3,6,12,2.95,5
3,6,13,2.95,5
3,6,19,23.60,40
4,1,1,3.70,5
4,1,2,3.70,5
4,1,3,3.70,5
4,1,7,3.70,5
4,1,8,3.70,5
4,1,12,3.70,5
4,1,17,11.10,15
4,1,18,11.10,15
4,1,19,29.60,40
4,2,1,4.60,5
4,2,2,4.60,5
4,2,3,4.60,5
4,2,7,4.60,5
4,2,8,4.60,5
4,2,12,4.60,5
4,2,17,13.80,15
4,2,18,13.80,15
4,2,19,36.80,40
4,5,1,3.90,5
4,5,7,3.90,5
4,5,8,3.90,5
4,5,12,3.90,5
4,5,13,3.90,5
4,5,19,31.20,40
4,6,1,4.55,5
4,6,7,4.55,5
4,6,8,4.55,5
4,6,12,4.55,5
4,6,13,4.55,5
4,6,19,36.40,40
5,1,1,4.00,5
5,1,2,4.00,5
5,1,3,4.00,5
5,1,7,4.00,5
5,1,8,4.00,5
5,1,12,4.00,5
5,1,17,12.00,15
5,1,18,12.00,15
5,1,19,32.00,40
5,2,1,2.95,5
5,2,2,2.95,5
5,2,3,2.95,5
5,2,7,2.95,5
5,2,8,2.95,5
5,2,12,2.95,5
5,2,17,8.85,15
5,2,18,8.85,15
5,2,19,23.60,40
5,5,1,4.25,5
5,5,7,4.25,5
