classroom_id,classroom_name,institution_id,time_slot_id,time_slot_start_time,time_slot_end_time,day_of_week
1,1A,1,11,08:00:00.0000000,09:30:00.0000000,Sunday
1,1A,1,12,09:30:00.0000000,11:00:00.0000000,Sunday
1,1A,1,13,11:00:00.0000000,12:30:00.0000000,Sunday
1,1A,1,14,12:30:00.0000000,14:00:00.0000000,Sunday
1,1A,1,15,14:00:00.0000000,15:30:00.0000000,Sunday
1,1A,1,21,08:00:00.0000000,09:30:00.0000000,Monday
1,1A,1,22,09:30:00.0000000,11:00:00.0000000,Monday
1,1A,1,23,11:00:00.0000000,12:30:00.0000000,Monday
1,1A,1,24,12:30:00.0000000,14:00:00.0000000,Monday
1,1A,1,25,14:00:00.0000000,15:30:00.0000000,Monday
1,1A,1,31,08:00:00.0000000,09:30:00.0000000,Tuesday
1,1A,1,32,09:30:00.0000000,11:00:00.0000000,Tuesday
1,1A,1,33,11:00:00.0000000,12:30:00.0000000,Tuesday
1,1A,1,34,12:30:00.0000000,14:00:00.0000000,Tuesday
1,1A,1,35,14:00:00.0000000,15:30:00.0000000,Tuesday
1,1A,1,41,08:00:00.0000000,09:30:00.0000000,Wednesday
1,1A,1,42,09:30:00.0000000,11:00:00.0000000,Wednesday
1,1A,1,43,11:00:00.0000000,12:30:00.0000000,Wednesday
1,1A,1,44,12:30:00.0000000,14:00:00.0000000,Wednesday
1,1A,1,45,14:00:00.0000000,15:30:00.0000000,Wednesday
1,1A,1,51,08:00:00.0000000,09:30:00.0000000,Thursday
1,1A,1,52,09:30:00.0000000,11:00:00.0000000,Thursday
1,1A,1,53,11:00:00.0000000,12:30:00.0000000,Thursday
1,1A,1,54,12:30:00.0000000,14:00:00.0000000,Thursday
1,1A,1,55,14:00:00.0000000,15:30:00.0000000,Thursday
2,1B,1,11,08:00:00.0000000,09:30:00.0000000,Sunday
2,1B,1,12,09:30:00.0000000,11:00:00.0000000,Sunday
2,1B,1,13,11:00:00.0000000,12:30:00.0000000,Sunday
2,1B,1,14,12:30:00.0000000,14:00:00.0000000,Sunday
2,1B,1,15,14:00:00.0000000,15:30:00.0000000,Sunday
2,1B,1,21,08:00:00.0000000,09:30:00.0000000,Monday
2,1B,1,22,09:30:00.0000000,11:00:00.0000000,Monday
2,1B,1,23,11:00:00.0000000,12:30:00.0000000,Monday
2,1B,1,24,12:30:00.0000000,14:00:00.0000000,Monday
2,1B,1,25,14:00:00.0000000,15:30:00.0000000,Monday
2,1B,1,31,08:00:00.0000000,09:30:00.0000000,Tuesday
2,1B,1,32,09:30:00.0000000,11:00:00.0000000,Tuesday
2,1B,1,33,11:00:00.0000000,12:30:00.0000000,Tuesday
2,1B,1,34,12:30:00.0000000,14:00:00.0000000,Tuesday
2,1B,1,35,14:00:00.0000000,15:30:00.0000000,Tuesday
2,1B,1,41,08:00:00.0000000,09:30:00.0000000,Wednesday
2,1B,1,42,09:30:00.0000000,11:00:00.0000000,Wednesday
2,1B,1,43,11:00:00.0000000,12:30:00.0000000,Wednesday
2,1B,1,44,12:30:00.0000000,14:00:00.0000000,Wednesday
2,1B,1,45,14:00:00.0000000,15:30:00.0000000,Wednesday
2,1B,1,51,08:00:00.0000000,09:30:00.0000000,Thursday
2,1B,1,52,09:30:00.0000000,11:00:00.0000000,Thursday
2,1B,1,53,11:00:00.0000000,12:30:00.0000000,Thursday
2,1B,1,54,12:30:00.0000000,14:00:00.0000000,Thursday
2,1B,1,55,14:00:00.0000000,15:30:00.0000000,Thursday
3,1C,1,11,08:00:00.0000000,09:30:00.0000000,Sunday
3,1C,1,12,09:30:00.0000000,11:00:00.0000000,Sunday
3,1C,1,13,11:00:00.0000000,12:30:00.0000000,Sunday
3,1C,1,14,12:30:00.0000000,14:00:00.0000000,Sunday
3,1C,1,15,14:00:00.0000000,15:30:00.0000000,Sunday
3,1C,1,21,08:00:00.0000000,09:30:00.0000000,Monday
3,1C,1,22,09:30:00.0000000,11:00:00.0000000,Monday
3,1C,1,23,11:00:00.0000000,12:30:00.0000000,Monday
3,1C,1,24,12:30:00.0000000,14:00:00.0000000,Monday
3,1C,1,25,14:00:00.0000000,15:30:00.0000000,Monday
3,1C,1,31,08:00:00.0000000,09:30:00.0000000,Tuesday
3,1C,1,32,09:30:00.0000000,11:00:00.0000000,Tuesday
3,1C,1,33,11:00:00.0000000,12:30:00.0000000,Tuesday
3,1C,1,34,12:30:00.0000000,14:00:00.0000000,Tuesday
3,1C,1,35,14:00:00.0000000,15:30:00.0000000,Tuesday
3,1C,1,41,08:00:00.0000000,09:30:00.0000000,Wednesday
3,1C,1,42,09:30:00.0000000,11:00:00.0000000,Wednesday
3,1C,1,43,11:00:00.0000000,12:30:00.0000000,Wednesday
3,1C,1,44,12:30:00.0000000,14:00:00.0000000,Wednesday
3,1C,1,45,14:00:00.0000000,15:30:00.0000000,Wednesday
3,1C,1,51,08:00:00.0000000,09:30:00.0000000,Thursday
3,1C,1,52,09:30:00.0000000,11:00:00.0000000,Thursday
3,1C,1,53,11:00:00.0000000,12:30:00.0000000,Thursday
3,1C,1,54,12:30:00.0000000,14:00:00.0000000,Thursday
3,1C,1,55,14:00:00.0000000,15:30:00.0000000,Thursday
4,1D,1,11,08:00:00.0000000,09:30:00.0000000,Sunday
4,1D,1,12,09:30:00.0000000,11:00:00.0000000,Sunday
4,1D,1,13,11:00:00.0000000,12:30:00.0000000,Sunday
4,1D,1,14,12:30:00.0000000,14:00:00.0000000,Sunday
4,1D,1,15,14:00:00.0000000,15:30:00.0000000,Sunday
4,1D,1,21,08:00:00.0000000,09:30:00.0000000,Monday
4,1D,1,22,09:30:00.0000000,11:00:00.0000000,Monday
4,1D,1,23,11:00:00.0000000,12:30:00.0000000,Monday
4,1D,1,24,12:30:00.0000000,14:00:00.0000000,Monday
4,1D,1,25,14:00:00.0000000,15:30:00.0000000,Monday
4,1D,1,31,08:00:00.0000000,09:30:00.0000000,Tuesday
4,1D,1,32,09:30:00.0000000,11:00:00.0000000,Tuesday
4,1D,1,33,11:00:00.0000000,12:30:00.0000000,Tuesday
4,1D,1,34,12:30:00.0000000,14:00:00.0000000,Tuesday
4,1D,1,35,14:00:00.0000000,15:30:00.0000000,Tuesday
4,1D,1,41,08:00:00.0000000,09:30:00.0000000,Wednesday
4,1D,1,42,09:30:00.0000000,11:00:00.0000000,Wednesday
4,1D,1,43,11:00:00.0000000,12:30:00.0000000,Wednesday
4,1D,1,44,12:30:00.0000000,14:00:00.0000000,Wednesday
4,1D,1,45,14:00:00.0000000,15:30:00.0000000,Wednesday
4,1D,1,51,08:00:00.0000000,09:30:00.0000000,Thursday
4,1D,1,52,09:30:00.0000000,11:00:00.0000000,Thursday
4,1D,1,53,11:00:00.0000000,12:30:00.0000000,Thursday
4,1D,1,54,12:30:00.0000000,14:00:00.0000000,Thursday
4,1D,1,55,14:00:00.0000000,15:30:00.0000000,Thursday
6,2A,2,11,08:00:00.0000000,09:30:00.0000000,Sunday
6,2A,2,12,09:30:00.0000000,11:00:00.0000000,Sunday
6,2A,2,13,11:00:00.0000000,12:30:00.0000000,Sunday
6,2A,2,14,12:30:00.0000000,14:00:00.0000000,Sunday
6,2A,2,15,14:00:00.0000000,15:30:00.0000000,Sunday
6,2A,2,21,08:00:00.0000000,09:30:00.0000000,Monday
6,2A,2,22,09:30:00.0000000,11:00:00.0000000,Monday
6,2A,2,23,11:00:00.0000000,12:30:00.0000000,Monday
6,2A,2,24,12:30:00.0000000,14:00:00.0000000,Monday
6,2A,2,25,14:00:00.0000000,15:30:00.0000000,Monday
6,2A,2,31,08:00:00.0000000,09:30:00.0000000,Tuesday
6,2A,2,32,09:30:00.0000000,11:00:00.0000000,Tuesday
6,2A,2,33,11:00:00.0000000,12:30:00.0000000,Tuesday
6,2A,2,34,12:30:00.0000000,14:00:00.0000000,Tuesday
6,2A,2,35,14:00:00.0000000,15:30:00.0000000,Tuesday
6,2A,2,41,08:00:00.0000000,09:30:00.0000000,Wednesday
6,2A,2,42,09:30:00.0000000,11:00:00.0000000,Wednesday
6,2A,2,43,11:00:00.0000000,12:30:00.0000000,Wednesday
6,2A,2,44,12:30:00.0000000,14:00:00.0000000,Wednesday
6,2A,2,45,14:00:00.0000000,15:30:00.0000000,Wednesday
6,2A,2,51,08:00:00.0000000,09:30:00.0000000,Thursday
6,2A,2,52,09:30:00.0000000,11:00:00.0000000,Thursday
6,2A,2,53,11:00:00.0000000,12:30:00.0000000,Thursday
6,2A,2,54,12:30:00.0000000,14:00:00.0000000,Thursday
6,2A,2,55,14:00:00.0000000,15:30:00.0000000,Thursday
7,2B,2,11,08:00:00.0000000,09:30:00.0000000,Sunday
7,2B,2,12,09:30:00.0000000,11:00:00.0000000,Sunday
7,2B,2,13,11:00:00.0000000,12:30:00.0000000,Sunday
7,2B,2,14,12:30:00.0000000,14:00:00.0000000,Sunday
7,2B,2,15,14:00:00.0000000,15:30:00.0000000,Sunday
7,2B,2,21,08:00:00.0000000,09:30:00.0000000,Monday
7,2B,2,22,09:30:00.0000000,11:00:00.0000000,Monday
7,2B,2,23,11:00:00.0000000,12:30:00.0000000,Monday
7,2B,2,24,12:30:00.0000000,14:00:00.0000000,Monday
7,2B,2,25,14:00:00.0000000,15:30:00.0000000,Monday
7,2B,2,31,08:00:00.0000000,09:30:00.0000000,Tuesday
7,2B,2,32,09:30:00.0000000,11:00:00.0000000,Tuesday
7,2B,2,33,11:00:00.0000000,12:30:00.0000000,Tuesday
7,2B,2,34,12:30:00.0000000,14:00:00.0000000,Tuesday
7,2B,2,35,14:00:00.0000000,15:30:00.0000000,Tuesday
7,2B,2,41,08:00:00.0000000,09:30:00.0000000,Wednesday
7,2B,2,42,09:30:00.0000000,11:00:00.0000000,Wednesday
7,2B,2,43,11:00:00.0000000,12:30:00.0000000,Wednesday
7,2B,2,44,12:30:00.0000000,14:00:00.0000000,Wednesday
7,2B,2,45,14:00:00.0000000,15:30:00.0000000,Wednesday
7,2B,2,51,08:00:00.0000000,09:30:00.0000000,Thursday
7,2B,2,52,09:30:00.0000000,11:00:00.0000000,Thursday
7,2B,2,53,11:00:00.0000000,12:30:00.0000000,Thursday
7,2B,2,54,12:30:00.0000000,14:00:00.0000000,Thursday
7,2B,2,55,14:00:00.0000000,15:30:00.0000000,Thursday
8,2C,2,11,08:00:00.0000000,09:30:00.0000000,Sunday
8,2C,2,12,09:30:00.0000000,11:00:00.0000000,Sunday
8,2C,2,13,11:00:00.0000000,12:30:00.0000000,Sunday
8,2C,2,14,12:30:00.0000000,14:00:00.0000000,Sunday
8,2C,2,15,14:00:00.0000000,15:30:00.0000000,Sunday
8,2C,2,21,08:00:00.0000000,09:30:00.0000000,Monday
8,2C,2,22,09:30:00.0000000,11:00:00.0000000,Monday
8,2C,2,23,11:00:00.0000000,12:30:00.0000000,Monday
8,2C,2,24,12:30:00.0000000,14:00:00.0000000,Monday
8,2C,2,25,14:00:00.0000000,15:30:00.0000000,Monday
8,2C,2,31,08:00:00.0000000,09:30:00.0000000,Tuesday
8,2C,2,32,09:30:00.0000000,11:00:00.0000000,Tuesday
8,2C,2,33,11:00:00.0000000,12:30:00.0000000,Tuesday
8,2C,2,34,12:30:00.0000000,14:00:00.0000000,Tuesday
8,2C,2,35,14:00:00.0000000,15:30:00.0000000,Tuesday
8,2C,2,41,08:00:00.0000000,09:30:00.0000000,Wednesday
8,2C,2,42,09:30:00.0000000,11:00:00.0000000,Wednesday
8,2C,2,43,11:00:00.0000000,12:30:00.0000000,Wednesday
8,2C,2,44,12:30:00.0000000,14:00:00.0000000,Wednesday
8,2C,2,45,14:00:00.0000000,15:30:00.0000000,Wednesday
8,2C,2,51,08:00:00.0000000,09:30:00.0000000,Thursday
8,2C,2,52,09:30:00.0000000,11:00:00.0000000,Thursday
8,2C,2,53,11:00:00.0000000,12:30:00.0000000,Thursday
8,2C,2,54,12:30:00.0000000,14:00:00.0000000,Thursday
8,2C,2,55,14:00:00.0000000,15:30:00.0000000,Thursday
9,2D,2,11,08:00:00.0000000,09:30:00.0000000,Sunday
9,2D,2,12,09:30:00.0000000,11:00:00.0000000,Sunday
9,2D,2,13,11:00:00.0000000,12:30:00.0000000,Sunday
9,2D,2,14,12:30:00.0000000,14:00:00.0000000,Sunday
9,2D,2,15,14:00:00.0000000,15:30:00.0000000,Sunday
9,2D,2,21,08:00:00.0000000,09:30:00.0000000,Monday
9,2D,2,22,09:30:00.0000000,11:00:00.0000000,Monday
9,2D,2,23,11:00:00.0000000,12:30:00.0000000,Monday
9,2D,2,24,12:30:00.0000000,14:00:00.0000000,Monday
9,2D,2,25,14:00:00.0000000,15:30:00.0000000,Monday
9,2D,2,31,08:00:00.0000000,09:30:00.0000000,Tuesday
9,2D,2,32,09:30:00.0000000,11:00:00.0000000,Tuesday
9,2D,2,33,11:00:00.0000000,12:30:00.0000000,Tuesday
9,2D,2,34,12:30:00.0000000,14:00:00.0000000,Tuesday
9,2D,2,35,14:00:00.0000000,15:30:00.0000000,Tuesday
9,2D,2,41,08:00:00.0000000,09:30:00.0000000,Wednesday
9,2D,2,42,09:30:00.0000000,11:00:00.0000000,Wednesday
9,2D,2,43,11:00:00.0000000,12:30:00.0000000,Wednesday
9,2D,2,44,12:30:00.0000000,14:00:00.0000000,Wednesday
9,2D,2,45,14:00:00.0000000,15:30:00.0000000,Wednesday
9,2D,2,51,08:00:00.0000000,09:30:00.0000000,Thursday
9,2D,2,52,09:30:00.0000000,11:00:00.0000000,Thursday
9,2D,2,53,11:00:00.0000000,12:30:00.0000000,Thursday
9,2D,2,54,12:30:00.0000000,14:00:00.0000000,Thursday
9,2D,2,55,14:00:00.0000000,15:30:00.0000000,Thursday
11,3A,3,11,08:00:00.0000000,09:30:00.0000000,Sunday
11,3A,3,12,09:30:00.0000000,11:00:00.0000000,Sunday
11,3A,3,13,11:00:00.0000000,12:30:00.0000000,Sunday
11,3A,3,14,12:30:00.0000000,14:00:00.0000000,Sunday
11,3A,3,15,14:00:00.0000000,15:30:00.0000000,Sunday
11,3A,3,21,08:00:00.0000000,09:30:00.0000000,Monday
11,3A,3,22,09:30:00.0000000,11:00:00.0000000,Monday
11,3A,3,23,11:00:00.0000000,12:30:00.0000000,Monday
11,3A,3,24,12:30:00.0000000,14:00:00.0000000,Monday
11,3A,3,25,14:00:00.0000000,15:30:00.0000000,Monday
11,3A,3,31,08:00:00.0000000,09:30:00.0000000,Tuesday
11,3A,3,32,09:30:00.0000000,11:00:00.0000000,Tuesday
11,3A,3,33,11:00:00.0000000,12:30:00.0000000,Tuesday
11,3A,3,34,12:30:00.0000000,14:00:00.0000000,Tuesday
11,3A,3,35,14:00:00.0000000,15:30:00.0000000,Tuesday
11,3A,3,41,08:00:00.0000000,09:30:00.0000000,Wednesday
11,3A,3,42,09:30:00.0000000,11:00:00.0000000,Wednesday
11,3A,3,43,11:00:00.0000000,12:30:00.0000000,Wednesday
11,3A,3,44,12:30:00.0000000,14:00:00.0000000,Wednesday
11,3A,3,45,14:00:00.0000000,15:30:00.0000000,Wednesday
11,3A,3,51,08:00:00.0000000,09:30:00.0000000,Thursday
11,3A,3,52,09:30:00.0000000,11:00:00.0000000,Thursday
11,3A,3,53,11:00:00.0000000,12:30:00.0000000,Thursday
11,3A,3,54,12:30:00.0000000,14:00:00.0000000,Thursday
11,3A,3,55,14:00:00.0000000,15:30:00.0000000,Thursday
12,3B,3,11,08:00:00.0000000,09:30:00.0000000,Sunday
12,3B,3,12,09:30:00.0000000,11:00:00.0000000,Sunday
12,3B,3,13,11:00:00.0000000,12:30:00.0000000,Sunday
12,3B,3,14,12:30:00.0000000,14:00:00.0000000,Sunday
12,3B,3,15,14:00:00.0000000,15:30:00.0000000,Sunday
12,3B,3,21,08:00:00.0000000,09:30:00.0000000,Monday
12,3B,3,22,09:30:00.0000000,11:00:00.0000000,Monday
12,3B,3,23,11:00:00.0000000,12:30:00.0000000,Monday
12,3B,3,24,12:30:00.0000000,14:00:00.0000000,Monday
12,3B,3,25,14:00:00.0000000,15:30:00.0000000,Monday
12,3B,3,31,08:00:00.0000000,09:30:00.0000000,Tuesday
12,3B,3,32,09:30:00.0000000,11:00:00.0000000,Tuesday
12,3B,3,33,11:00:00.0000000,12:30:00.0000000,Tuesday
12,3B,3,34,12:30:00.0000000,14:00:00.0000000,Tuesday
12,3B,3,35,14:00:00.0000000,15:30:00.0000000,Tuesday
12,3B,3,41,08:00:00.0000000,09:30:00.0000000,Wednesday
